id;seccion;edad;pf_ac1;pf_ac2;pf_ac3;pf_alg_2019;pf_alg_2020;alg_1b_2021;alg_2b_2021;alg_3b_2021;alg_4b_2021;ind_nivel_algebra;pf_apm_2019;pf_apm_2020;am_1b_2021;am_2b_2021;am_3b_2021;am_4b_2021;ind_nivel_am;pf_geo_2019;pf_geo_2020;geo_1b_2021;geo_2b_2021;geo_3b_2021;geo_4b_2021;ind_nivel_geo;grupo_mate;genero;anios_colegio;condicion_pago;pe1;pe2;pe3;pe4;pe5;horas_asincronas;valoracion_clases;dispos_clases;calidad_internet
30;B;15;16;19;19;18;17;17;17;20;20;3;17;18;16;14;18;16;3;18;16;16;14;15;18;3;0;F;3;deuda;Muy facil;Muy facil;Muy facil;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;4;Muy buena
31;B;15;12;15;16;15;11;10;14;16;16;3;11;11;8;8;11;13;2;12;11;11;10;13;17;2;0;M;3;deuda;Ni facil ni dificil;Ni facil ni dificil;Facil;Ni facil ni dificil;Indiferente;2 horas;Indiferente;4;Media
32;B;14;16;18;17;15;18;16;14;18;19;3;14;14;14;11;18;18;3;14;15;17;12;14;19;3;0;F;3;deuda;Facil;Facil;Muy facil;Facil;Bueno;3 horas;Satisfecho;3;Buena
33;B;14;19;19;19;20;20;17;18;20;20;3;19;17;18;17;19;20;3;16;15;17;15;16;20;3;0;F;4;deuda;Facil;Muy facil;Muy facil;Facil;Excelente;De 4 horas a mas;Muy satisfecho;2;Muy buena
34;B;14;17;18;19;19;18;18;18;18;19;3;20;16;18;16;20;17;3;15;14;17;14;20;19;3;0;F;4;deuda;Facil;Muy facil;Muy facil;Facil;Excelente;De 4 horas a mas;Muy satisfecho;5;Muy buena
35;B;15;16;18;19;15;16;16;15;18;18;3;13;15;13;12;15;11;2;14;15;15;12;15;19;3;0;M;3;deuda;Facil;Facil;Facil;Facil;Bueno;3 horas;Satisfecho;5;Buena
36;B;14;15;17;17;19;16;16;15;14;19;3;11;16;14;14;16;10;2;13;16;15;13;14;18;3;0;F;3;deuda;Facil;Facil;Muy facil;Facil;Bueno;3 horas;Satisfecho;5;Buena
37;B;15;15;16;17;18;16;17;18;14;18;3;11;11;17;13;13;12;2;16;14;16;12;13;15;3;0;F;3;deuda;Facil;Ni facil ni dificil;Muy facil;Facil;Bueno;3 horas;Satisfecho;3;Buena
38;B;14;17;18;19;17;13;17;13;18;20;3;15;15;16;12;16;15;3;18;14;17;14;16;19;3;0;M;3;deuda;Facil;Facil;Facil;Facil;Bueno;3 horas;Satisfecho;4;Buena
39;B;14;14;16;15;20;16;13;16;17;28;3;12;14;13;11;14;12;2;14;13;13;12;15;14;2;0;M;3;deuda;Facil;Facil;FALSO;Facil;Bueno;3 horas;Satisfecho;3;Buena
40;B;15;19;19;19;18;17;19;17;20;20;3;19;17;17;15;19;20;3;20;17;17;16;18;20;3;0;F;3;deuda;Muy facil;Muy facil;Muy facil;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;3;Muy buena
41;B;14;13;14;15;15;16;13;14;16;16;3;11;11;15;13;12;12;2;14;13;15;11;14;15;2;0;F;3;deuda;Facil;Ni facil ni dificil;Facil;Facil;Bueno;3 horas;Satisfecho;2;Buena
42;B;14;17;18;19;20;18;18;15;18;20;3;12;12;17;12;16;18;3;19;16;16;13;15;19;3;0;M;3;deuda;Muy facil;Facil;Muy facil;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;4;Muy buena
43;B;15;16;17;17;18;17;17;16;18;18;3;13;14;14;14;16;13;3;19;15;14;14;19;16;3;0;F;3;deuda;Muy facil;Facil;Muy facil;Muy facil;Bueno;3 horas;Satisfecho;2;Buena
44;B;14;14;15;18;17;15;11;15;14;18;3;14;14;10;12;15;11;2;15;12;16;12;16;18;3;0;F;3;deuda;Facil;Facil;Facil;Facil;Bueno;3 horas;Satisfecho;3;Buena
45;B;14;17;18;19;17;16;17;16;18;19;3;14;13;13;14;15;18;3;18;18;17;15;15;20;3;0;M;3;deuda;Muy facil;Facil;Muy facil;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;3;Muy buena
46;B;14;11;12;15;18;13;12;14;12;18;3;11;13;13;9;9;12;2;11;12;16;10;10;11;2;0;F;3;deuda;Ni facil ni dificil;Ni facil ni dificil;Facil;Ni facil ni dificil;Bueno;3 horas;Satisfecho;4;Buena
47;B;14;18;18;20;18;19;17;16;20;20;3;15;18;16;15;18;18;3;17;18;17;16;18;18;3;0;M;3;deuda;Muy facil;Muy facil;Muy facil;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;3;Muy buena
48;B;14;15;17;16;15;16;15;14;17;16;3;17;16;14;12;17;15;3;13;15;16;13;16;15;3;0;M;3;deuda;Facil;Facil;Facil;Facil;Bueno;3 horas;Satisfecho;1;Buena
